estimation_id,region_id,simd_width,global_size,local_size,thread_count,time,speed_up,bounded_by
443,354,32,"(4, 2694)","(2, 128)",338,5.971818181818182e-06,5019.719922362612,"Launch_Tax, Latencies, Compute"
444,354,32,"(4, 2694)","(4, 2)",1347,6.711818181818182e-06,4466.279313287281,"Launch_Tax, Compute"
445,354,32,"(4, 2694)","(4, 4)",674,6.240909090909091e-06,4803.283345957757,"Launch_Tax, Compute"
446,354,32,"(4, 2694)","(4, 8)",337,5.971818181818182e-06,5019.719922362612,"Launch_Tax, Latencies, Compute"
447,354,32,"(4, 2694)","(4, 16)",337,5.971818181818182e-06,5019.719922362612,"Launch_Tax, Latencies, Compute"
448,354,32,"(4, 2694)","(4, 32)",337,5.971818181818182e-06,5019.719922362612,"Launch_Tax, Latencies, Compute"
449,354,32,"(4, 2694)","(4, 64)",337,5.971818181818182e-06,5019.719922362612,"Launch_Tax, Latencies, Compute"
450,295,8,"(2694,)","(8,)",337,2.116e-05,1416.6755529300567,"Launch_Tax, Latencies, Compute"
451,295,8,"(2694,)","(16,)",337,2.116e-05,1416.6755529300567,"Launch_Tax, Latencies, Compute"
452,295,8,"(2694,)","(32,)",337,2.116e-05,1416.6755529300567,"Launch_Tax, Latencies, Compute"
453,295,8,"(2694,)","(64,)",337,2.116e-05,1416.6755529300567,"Launch_Tax, Latencies, Compute"
454,295,8,"(2694,)","(128,)",337,2.116e-05,1416.6755529300567,"Launch_Tax, Latencies, Compute"
455,295,8,"(2694,)","(256,)",337,2.1283636363636366e-05,1408.4461032803688,"Launch_Tax, Latencies, Compute"
456,295,16,"(2694,)","(8,)",337,2.1252727272727277e-05,1410.4944892634098,"Launch_Tax, Latencies, Compute"
457,295,16,"(2694,)","(16,)",169,2.116e-05,1416.6755529300567,"Launch_Tax, Latencies, Compute"
458,295,16,"(2694,)","(32,)",169,2.116e-05,1416.6755529300567,"Launch_Tax, Latencies, Compute"
459,295,16,"(2694,)","(64,)",169,2.116e-05,1416.6755529300567,"Launch_Tax, Latencies, Compute"
460,295,16,"(2694,)","(128,)",169,2.116e-05,1416.6755529300567,"Launch_Tax, Latencies, Compute"
461,295,16,"(2694,)","(256,)",169,2.1190909090909094e-05,1414.6091879021876,"Launch_Tax, Latencies, Compute"
462,295,32,"(2694,)","(8,)",337,2.143818181818182e-05,1398.2927728776183,"Launch_Tax, Compute"
463,295,32,"(2694,)","(16,)",169,2.1252727272727277e-05,1410.4944892634098,"Launch_Tax, Latencies, Compute"
464,295,32,"(2694,)","(32,)",85,2.1190909090909094e-05,1414.6091879021876,"Launch_Tax, Latencies, Compute"
465,295,32,"(2694,)","(64,)",85,2.1190909090909094e-05,1414.6091879021876,"Launch_Tax, Latencies, Compute"
466,295,32,"(2694,)","(128,)",85,2.1190909090909094e-05,1414.6091879021876,"Launch_Tax, Latencies, Compute"
467,295,32,"(2694,)","(256,)",85,2.1190909090909094e-05,1414.6091879021876,"Launch_Tax, Latencies, Compute"
468,295,8,"(2694,)","(8,)",337,2.116e-05,1416.6755529300567,"Launch_Tax, Latencies, Compute"
